,Country,Year,gdp,pop_density,pop,gender_ratio,exp_imp,edu_prim,gva_ag,gva_indst,gva_servc,labor_part,unemp,energy_prod,energy_supp,internet,tourism,health,parliam_women,food_prod,cpi,mort_child,life_exp,mort_mother,pop_gain,num_child,pop_migrants,pop_unhcr,urban,ghg_emissions
143,Costa Rica,2015,11393.0,94.2,4.81,100.1,-1232.0166320166322,98.42972972972974,5.4012,21.1634,73.4355,61.8,9.3,22.86902286902287,43.0,59.8,708.5239085239086,7.7804,33.3,127.4,121.5,9.3,79.2,25.0,1.1,1.9,8.6,1643.866943866944,76.9,2.93
144,Croatia,2005,10358.0,78.2,4.38,92.9,-2234.703196347032,44.80662100456621,4.6692,29.2037,66.1271,53.3,12.6,45.433789954337904,92.0,33.1,1740.867579908676,6.9124,21.7,100.3,85.8,6.5,74.9,11.0,-0.2,1.4,13.2,2481.0502283105025,54.3,6.4
145,Croatia,2010,13832.0,77.3,4.33,92.9,-1906.6974595842955,38.672517321016166,4.366,27.0247,68.6093,52.7,11.6,49.65357967667436,90.0,56.6,1916.6281755196305,8.0958,23.5,111.1,100.0,5.7,76.1,10.0,-0.2,1.5,13.2,5884.526558891454,55.2,5.99
146,Croatia,2015,11690.0,75.7,4.24,93.0,-1824.764150943396,38.29127358490565,3.6333,26.7542,69.6124,52.9,16.2,43.39622641509434,83.0,69.8,2126.88679245283,7.1542,25.8,110.4,107.4,3.9,77.0,8.0,-0.4,1.5,13.6,4123.584905660377,56.2,5.49
147,Cuba,2005,3779.0,106.0,11.28,100.7,-511.1702127659575,79.3479609929078,4.4148,21.7792,73.806,52.8,2.0,18.173758865248228,37.0,9.7,229.6985815602837,8.7539,36.0,96.7,112.5546862316478,6.1,77.2,41.0,0.2,1.6,0.2,65.42553191489363,76.1,3.54
148,Cuba,2010,5676.0,106.5,11.33,100.4,-526.7431597528685,75.26425419240954,3.6516,23.1302,73.2182,55.5,2.5,17.6522506619594,45.0,15.9,211.47396293027361,10.6876,43.2,88.2,109.41201311570394,5.7,78.7,44.0,0.1,1.6,0.1,37.33451015004413,76.6,4.33
149,Cuba,2015,7609.0,107.7,11.46,100.2,776.7888307155322,65.07268760907503,3.8763,22.5909,73.5328,54.3,2.4,18.49912739965096,40.0,37.3,245.98603839441535,12.7846,48.9,100.8,99.83767062935425,5.5,79.2,39.0,0.2,1.7,0.1,28.359511343804535,76.9,4.08
153,Cyprus,2005,25682.0,111.2,1.03,102.6,-4695.145631067961,59.463106796116506,3.1348,20.4779,76.3872,63.0,5.3,1.941747572815534,91.0,32.8,2542.7184466019417,5.2862,16.1,98.3,88.6,5.6,78.3,12.0,1.7,1.6,11.4,13367.961165048544,68.3,8.53
154,Cyprus,2010,30817.0,120.4,1.11,99.7,-6430.63063063063,49.37477477477477,2.3889,16.7107,80.9004,64.1,6.3,3.603603603603603,93.0,53.0,2184.6846846846843,6.2778,12.5,83.9,100.0,4.4,79.0,8.0,1.6,1.5,16.9,7918.918918918918,67.6,7.92
155,Cyprus,2015,23236.0,125.6,1.16,100.3,-3244.8275862068967,46.35603448275862,2.103,11.0858,86.8112,62.6,14.9,4.310344827586207,73.0,71.7,2138.793103448276,6.8085,12.5,80.9,101.7,4.2,79.9,7.0,0.9,1.4,16.5,12156.89655172414,66.9,6.06
156,Czech Republic,2005,13285.0,132.8,10.26,95.0,163.8401559454191,49.00886939571151,2.4475,37.711,59.8415,59.5,7.9,135.1851851851852,186.0,35.3,562.5730994152046,6.381,17.0,100.2,87.0,3.9,75.5,6.0,-0.1,1.2,3.1,265.69200779727095,73.6,13.47
157,Czech Republic,2010,19692.0,136.4,10.54,96.4,611.9544592030361,43.96176470588236,1.6804,36.7801,61.5395,58.3,7.3,127.03984819734346,179.0,68.8,765.4648956356737,6.9281,15.5,91.5,100.0,3.1,77.0,5.0,0.5,1.4,3.8,333.49146110056927,73.3,12.39
158,Czech Republic,2015,17619.0,137.3,10.6,96.6,1554.5283018867924,50.46528301886793,2.4758,37.7744,59.7497,59.6,5.1,113.77358490566039,166.0,75.7,638.3018867924528,7.2428,19.0,96.3,107.5,2.5,78.2,4.0,0.1,1.5,3.9,476.22641509433964,73.5,11.42
162,North Korea,2005,548.0,198.5,23.9,95.4,-28.410041841004187,56.80359832635983,25.0112,42.7829,32.2059,81.6,4.5,38.61924686192469,38.0,0.0,4.042668930532015,5.87167856190613,20.1,101.0,99.41887439372692,28.5,68.1,105.0,0.8,2.0,0.2,541.9935010285466,59.8,4.27
163,North Korea,2010,570.0,204.2,24.59,95.6,-43.71695811305409,55.209678731191545,20.834,48.2095,30.9565,81.0,4.6,28.426189507930054,25.0,0.0,4.5891151845437355,5.9720288421609915,15.6,97.4,100.98866977230954,27.3,68.4,97.0,0.6,2.0,0.2,499.876671477172,60.4,3.83
164,North Korea,2015,648.0,209.6,25.24,95.7,-64.06497622820919,53.7878763866878,21.645,46.1687,32.1864,80.7,4.5,31.2202852614897,13.0,0.0,8.479604618578389,5.206682830164485,16.3,104.6,89.11331009194616,18.5,70.8,82.0,0.5,2.0,0.2,1503.7000098785845,61.3,2.55
165,Dem. Rep. of the Congo,2005,219.0,24.2,54.75,98.8,-1.4246575342465753,222.24308675799088,22.2988,32.8504,44.8508,71.6,3.7,15.817351598173516,14.0,0.2,0.0547945205479452,4.2746,12.0,100.0,58.6,99.5,51.8,787.0,3.0,6.7,1.1,4601.2054794520545,37.5,0.65
166,Dem. Rep. of the Congo,2010,334.0,28.5,64.52,99.1,12.399256044637323,163.86270923744578,22.4394,40.5146,37.0461,66.3,3.7,13.267203967761935,13.0,0.7,0.1704897706137632,4.0193,8.4,104.4,100.0,83.9,55.5,794.0,3.3,6.6,0.9,36637.61624302542,40.0,0.59
167,Dem. Rep. of the Congo,2015,498.0,33.6,76.2,99.5,-5.3412073490813645,180.61937007874016,19.715,44.7573,35.5277,63.9,3.7,15.984251968503937,16.0,3.8,0.0,3.9869,8.9,109.6,130.1,73.2,58.1,693.0,3.3,6.4,1.1,26259.92125984252,42.7,0.55
168,Denmark,2005,48779.0,127.8,5.42,98.1,1764.2066420664207,76.40276752767528,1.3483,26.1727,72.4791,65.9,4.8,239.48339483394835,145.0,82.7,976.5682656826568,9.0906,38.0,100.8,90.0,4.5,77.3,8.0,0.3,1.8,8.1,8386.90036900369,85.9,11.59
169,Denmark,2010,57967.0,130.9,5.55,98.5,2430.990990990991,72.6745945945946,1.3928,22.8343,75.7729,64.4,7.5,174.4144144144144,146.0,88.7,1027.7477477477478,10.3332,38.0,101.3,100.0,3.7,78.6,7.0,0.5,1.9,9.2,4418.558558558559,86.8,11.03
170,Denmark,2015,53206.0,134.1,5.69,98.9,1632.8646748681897,82.34376098418277,1.1035,23.0326,75.8639,62.0,6.2,116.16871704745166,117.0,96.3,1174.8681898066784,10.2738,38.0,104.5,107.1,3.5,80.1,6.0,0.5,1.7,10.5,4804.042179261863,87.5,9.38
171,Djibouti,2005,861.0,33.8,0.78,101.0,-305.12820512820514,64.93717948717949,1.6971,16.1515,82.1514,62.0,6.4,3.846153846153846,11.0,1.0,8.974358974358974,4.5273,10.8,94.9,77.8,68.1,57.3,341.0,1.8,4.2,11.8,23260.25641025641,76.8,1.49
172,Djibouti,2010,1192.0,36.7,0.85,100.9,-156.47058823529412,66.81823529411766,2.3447,20.1447,77.5106,62.3,6.2,3.5294117647058822,13.0,6.5,21.176470588235293,4.2971,13.8,115.7,100.0,63.4,59.1,275.0,1.7,3.6,11.9,18638.823529411766,77.0,1.51
173,Djibouti,2015,1762.0,40.0,0.93,100.8,-815.0537634408602,67.6774193548387,2.3274,21.9827,75.6899,62.8,5.9,4.301075268817204,11.0,11.9,33.33333333333333,4.3893,12.7,132.8,112.5,55.3,61.6,229.0,1.7,3.1,12.1,18680.645161290322,77.4,1.55
177,Dominican Republic,2005,3844.0,191.2,9.24,100.0,-67.20779220779221,139.58279220779218,7.734,32.4607,59.8053,56.9,6.5,3.0303030303030303,29.0,11.5,380.7359307359307,4.354,17.3,98.2,73.4,34.9,71.1,64.0,1.5,2.8,4.1,7439.880952380952,67.4,3.03
178,Dominican Republic,2010,5371.0,204.8,9.9,99.7,-1047.5757575757575,133.11131313131312,6.4943,29.937,63.5687,57.6,5.0,2.727272727272727,30.0,31.4,420.4040404040404,5.5823,19.7,125.1,100.0,29.6,72.2,75.0,1.4,2.7,4.0,238.1818181818182,73.8,3.28
179,Dominican Republic,2015,6535.0,217.9,10.53,99.3,-851.2820512820514,124.13371320037987,6.0436,30.3117,63.6447,63.6,5.9,1.4245014245014247,30.0,54.2,580.8167141500476,6.0439,20.8,144.8,122.5,25.1,73.2,92.0,1.2,2.5,3.9,12832.9534662868,78.6,3.23
180,Ecuador,2005,3022.0,55.3,13.74,100.3,18.995633187772924,145.38748180494906,10.0379,33.3967,56.5654,68.1,7.7,91.04803493449782,35.0,6.0,35.51673944687045,5.5784,16.0,98.2,80.4,27.1,73.6,74.0,1.7,2.9,1.4,19108.660844250364,61.7,3.21
181,Ecuador,2010,4657.0,60.1,14.93,100.1,-207.70261219022103,141.6073007367716,10.1804,36.3199,53.4997,65.1,4.1,72.13663764233088,38.0,29.0,52.64567983924984,7.122,32.3,123.1,100.0,23.4,74.6,75.0,1.7,2.7,2.2,11462.558606831883,62.7,3.6
182,Ecuador,2015,6150.0,65.0,16.14,100.0,-189.40520446096653,123.80018587360594,10.1994,34.3819,55.4187,66.6,3.6,80.42131350681537,40.0,48.9,96.46840148698884,8.5885,41.6,122.8,121.5,21.1,75.5,64.0,1.6,2.6,2.4,8247.707558859975,63.4,3.72
183,Egypt,2005,1230.0,77.1,76.78,101.7,-119.38004688721021,124.55883042458974,14.3613,36.8648,48.7739,46.6,11.2,44.06095337327429,37.0,12.8,93.85256577233655,4.9223,2.9,99.0,57.8,29.4,69.0,52.0,1.9,3.2,0.4,1304.428236519927,43.0,2.96
184,Egypt,2010,2552.0,84.5,84.11,102.0,-317.1085483295684,125.33751040304364,13.9902,37.5265,48.4833,49.2,11.9,43.89489953632148,39.0,21.6,162.08536440375698,4.1532,1.8,109.7,100.0,23.5,69.9,40.0,1.8,3.0,0.4,1306.967066936155,43.0,3.18
185,Egypt,2015,3388.0,94.2,93.78,102.2,-558.6905523565792,107.19644380464918,11.2595,36.1977,52.5428,48.3,13.1,32.53358925143954,37.0,37.8,73.5444657709533,4.6229,2.35,122.1,156.8,18.9,70.8,33.0,2.2,3.4,0.6,2733.887822563446,42.8,3.03
186,El Salvador,2005,2438.0,291.0,6.03,91.4,-559.3698175787728,173.38043117744607,6.7686,26.8383,66.3931,60.9,7.2,17.24709784411277,31.0,4.2,108.7893864013267,7.1897,10.7,98.9,84.5,23.6,69.6,68.0,0.5,2.7,0.6,15.588723051409618,61.6,2.02
187,El Salvador,2010,2993.0,297.5,6.16,89.9,-635.8766233766233,152.55292207792206,7.6087,27.5456,64.8458,59.9,4.9,15.422077922077921,29.0,15.9,104.87012987012987,6.9147,19.0,105.3,100.0,20.7,71.1,59.0,0.4,2.4,0.7,9.09090909090909,65.5,1.96
188,El Salvador,2015,3670.0,304.7,6.31,88.9,-781.2995245641839,117.49508716323297,6.4145,26.8982,66.6873,58.8,4.0,13.787638668779715,29.0,26.8,190.64976228209193,6.8641,27.4,109.9,108.2,17.0,72.6,54.0,0.5,2.2,0.7,7.6069730586370845,69.7,1.85
189,Equatorial Guinea,2005,11250.0,27.0,0.76,112.6,7569.736842105263,99.7486842105263,1.5345,81.3149,17.1506,60.3,5.8,1143.421052631579,113.0,1.1,4712.784238034037,1.401,18.0,101.2,77.5,89.7,53.6,483.0,4.2,5.7,0.9,12600.602343726572,57.7,25.83
190,Equatorial Guinea,2010,17136.0,33.9,0.95,118.8,4510.526315789474,89.53789473684212,1.0557,74.3442,24.6001,61.9,5.6,941.0526315789474,84.0,6.0,2059.9165386541167,1.5319,10.0,109.6,100.0,80.4,54.9,379.0,4.6,5.4,0.9,1498.2882983718157,65.9,21.33
191,Equatorial Guinea,2015,11209.0,41.9,1.18,123.0,2788.983050847458,79.14915254237289,1.8863,59.0349,39.0788,62.7,5.5,669.4915254237288,48.0,21.3,1942.7647527212016,2.7082,24.0,116.6,118.6,70.0,56.8,342.0,4.2,5.0,17.8,4494.735218473962,70.6,19.15
192,Eritrea,2005,277.0,39.3,3.97,100.1,-124.18136020151132,95.0911838790932,24.2091,21.9193,53.8716,78.9,7.0,5.289672544080604,7.0,0.2,16.624685138539043,5.3124,22.0,107.9,84.41416641399573,59.4,56.7,619.0,3.1,5.1,0.4,1521.410579345088,31.1,1.63
193,Eritrea,2010,482.0,43.5,4.39,100.2,-267.65375854214125,65.15284738041004,19.066,23.134,57.8,80.0,6.8,5.4669703872437365,7.0,0.6,15.034168564920275,3.4459,22.0,101.8,84.84419680555364,51.7,60.7,579.0,2.0,4.8,0.4,1129.612756264237,35.2,1.44
194,Eritrea,2015,916.0,48.0,4.85,100.4,-574.2268041237114,74.57402061855672,17.2164,23.4548,59.3288,80.6,6.6,5.567010309278351,7.0,1.1,13.608247422680414,2.9658,22.0,102.6,102.81143138309378,45.0,63.4,501.0,2.0,4.4,0.3,611.7525773195877,38.2,1.44
195,Estonia,2005,10330.0,32.0,1.36,86.8,-2036.7647058823527,62.89632352941176,3.5013,29.7753,66.7234,58.6,8.0,119.85294117647058,164.0,61.5,903.6764705882352,4.9559,18.8,103.1,79.1,7.3,71.6,15.0,-0.6,1.4,17.2,100011.0294117647,68.7,15.77
196,Estonia,2010,14640.0,31.4,1.33,87.2,-289.4736842105263,54.85338345864661,3.1928,27.9715,68.8356,60.5,16.7,154.88721804511277,179.0,74.1,1170.6766917293232,6.3337,22.8,110.3,100.0,4.7,73.8,8.0,-0.4,1.7,16.4,75963.90977443609,68.1,17.3
197,Estonia,2015,17157.0,31.0,1.32,87.9,-1381.8181818181818,60.29848484848484,3.1364,27.7577,69.106,62.2,6.2,177.27272727272725,177.0,87.2,1428.030303030303,6.4818,19.8,149.8,111.5,3.2,76.8,9.0,-0.3,1.6,14.8,65724.24242424242,68.4,17.66
201,Ethiopia,2005,159.0,76.7,76.73,99.5,-41.300664668317474,130.58424345106215,45.5775,13.1876,42.0782,82.1,5.4,13.945001954906816,15.0,0.2,6.946435553238628,4.101,7.7,102.5,44.8,78.0,53.6,743.0,2.9,6.1,0.7,1370.2072201225074,15.7,1.16
202,Ethiopia,2010,300.0,87.7,87.7,99.6,-71.51653363740023,155.47649942987456,45.5707,10.441,44.5333,81.3,5.2,13.819840364880273,15.0,0.8,16.351197263397946,5.4664,21.9,137.6,100.0,59.9,59.1,523.0,2.7,5.3,0.6,1771.6077537058152,17.3,1.31
203,Ethiopia,2015,632.0,99.9,99.87,99.7,-208.15059577450685,162.19131871432862,38.7624,17.5207,43.7168,80.5,5.0,13.317312506258135,15.0,13.9,22.819665565234803,3.9759,27.8,169.3,211.4,45.8,63.7,353.0,2.6,4.6,1.2,7066.045859617502,19.4,1.3
204,Fiji,2005,3627.0,45.0,0.82,104.0,-1104.878048780488,132.5939024390244,12.8459,17.9226,69.2315,57.0,4.6,10.975609756097562,29.0,8.5,880.4878048780488,3.559,8.5,98.7,80.8,19.0,68.0,39.0,0.3,3.0,1.5,16.463414634146343,49.9,2.9
205,Fiji,2010,3652.0,47.1,0.86,104.2,-1124.4186046511627,126.42674418604652,10.1901,19.916,69.8939,61.4,8.9,5.813953488372093,25.0,20.0,959.3023255813954,3.7014,11.25,81.3,100.0,17.9,68.8,34.0,0.9,2.8,1.6,8.13953488372093,52.2,3.04
206,Fiji,2015,4890.0,48.8,0.89,103.4,-1332.5842696629213,122.16516853932585,11.3305,17.935,70.7345,58.1,6.1,7.865168539325842,41.0,42.5,1166.2921348314605,3.5689,14.0,85.3,116.4,16.0,69.7,30.0,0.7,2.6,1.5,22.47191011235955,54.7,3.13
207,Finland,2005,38873.0,17.3,5.26,95.9,1286.3117870722433,72.58269961977187,2.6124,33.5397,63.8479,60.6,8.4,132.8897338403042,273.0,74.5,583.4600760456274,7.9979,37.5,102.1,91.2,3.2,78.4,4.0,0.3,1.8,3.7,2406.463878326996,82.9,13.26
208,Finland,2010,46181.0,17.7,5.37,96.4,251.21042830540037,64.62942271880819,2.7307,29.9737,67.2956,59.8,8.4,135.38175046554935,284.0,86.9,837.4301675977654,8.8687,40.0,93.9,100.0,2.7,79.5,3.0,0.4,1.8,4.6,2598.510242085661,83.8,14.2
209,Finland,2015,42405.0,18.0,5.48,96.9,-89.7810218978102,64.82317518248175,2.5799,27.0399,70.3802,58.8,9.4,133.94160583941604,247.0,86.4,731.5693430656934,9.7429,42.5,98.2,108.8,2.3,80.7,3.0,0.4,1.8,5.7,2983.2116788321164,85.2,11.69
210,France,2005,34724.0,111.8,61.23,96.3,-677.8213294136862,65.58043442756818,1.8706,21.8328,76.2966,56.2,8.5,93.00996243671403,186.0,42.9,851.5270292340357,10.1798,12.2,99.8,92.8,4.3,79.4,10.0,0.5,1.9,11.0,2932.239098481137,77.1,8.13
211,France,2010,40565.0,115.1,63.03,96.4,-1388.5451372362368,65.98581627796288,1.7802,19.8062,78.4135,56.3,8.9,89.62398857686816,174.0,77.3,891.432651118515,11.1792,18.9,99.0,100.0,3.7,80.8,9.0,0.6,2.0,11.4,3973.250832936697,78.4,7.34
212,France,2015,36574.0,117.7,64.46,96.6,-1077.520943220602,66.02525597269626,1.7941,19.7551,78.4507,55.6,10.4,89.24914675767918,160.0,78.0,1030.3909401179026,11.5014,26.2,103.6,105.6,3.4,81.9,8.0,0.4,2.0,12.3,4965.699658703073,79.7,6.9
216,Gabon,2005,6827.0,5.4,1.4,100.3,2583.571428571429,30.623636094433763,5.2077,62.6034,32.1889,46.8,16.9,439.28571428571433,53.0,4.9,9.285714285714286,2.9341,9.2,100.1,88.7,58.1,59.1,370.0,2.6,4.4,15.3,9770.714285714286,82.5,4.21
217,Gabon,2010,8754.0,6.4,1.64,104.2,3396.3414634146343,52.10868641810715,4.2233,59.5611,36.2156,49.2,20.4,359.7560975609756,57.0,13.0,54.268292682926834,2.4756,14.7,109.1,100.0,49.3,61.3,322.0,3.1,4.2,14.9,8067.682926829269,85.5,3.74
218,Gabon,2015,7446.0,7.5,1.93,105.7,1055.440414507772,68.97704473057482,4.6513,51.907,43.4417,51.3,20.0,291.19170984455957,58.0,45.8,26.424870466321245,2.6574,14.2,117.8,109.0,40.8,64.5,291.0,3.3,4.0,13.9,1499.4818652849742,88.1,4.05
219,Gambia,2005,654.0,142.7,1.44,98.4,-175.0,142.60208333333335,32.3113,12.3612,55.3275,58.5,9.4,4.166666666666667,7.0,3.8,40.97222222222222,4.9078,13.2,94.3,81.1,59.4,56.9,807.0,3.2,5.9,12.6,5537.5,52.0,4.13
220,Gambia,2010,851.0,167.2,1.69,98.1,-127.21893491124261,135.51065088757397,35.1433,10.4093,54.4474,59.3,9.4,3.5502958579881656,7.0,9.2,47.337278106508876,5.7396,7.5,133.2,100.0,52.4,58.8,753.0,3.2,5.8,11.0,5019.526627218935,55.7,4.26
221,Gambia,2015,705.0,195.4,1.98,98.0,-137.87878787878788,148.2338383838384,25.6304,16.5307,57.8389,59.5,9.4,3.5353535353535355,7.0,16.5,61.111111111111114,4.7615,9.4,100.8,130.7,49.8,60.3,706.0,3.1,5.6,9.7,5946.969696969697,59.2,4.02
222,Georgia,2005,1429.0,64.6,4.49,89.5,-361.6926503340757,75.32783964365255,16.4812,26.5117,57.0071,63.4,13.8,11.804008908685969,30.0,6.1,63.91982182628062,8.3039,9.4,120.8,70.0,29.0,72.6,37.0,-1.0,1.6,1.6,53140.75723830735,53.6,2.61
223,Georgia,2010,2750.0,60.9,4.23,90.5,-841.1347517730495,68.35390070921986,8.2733,21.9556,69.7712,64.8,16.3,13.711583924349881,33.0,26.9,174.23167848699762,9.5454,5.1,68.4,100.0,20.2,72.7,40.0,-1.2,1.8,1.7,85633.56973995271,55.5,2.91
224,Georgia,2015,3541.0,56.9,3.95,91.3,-1398.73417721519,73.04835443037975,8.9752,24.2424,66.7824,68.1,12.0,14.683544303797468,50.0,47.6,518.7341772151899,7.9324,11.3,76.4,114.7,11.2,72.8,36.0,-1.4,2.0,1.9,67925.56962025315,57.4,3.66
225,Germany,2005,35035.0,234.3,81.67,95.6,2415.978939635117,40.481645647116444,0.7588,29.3976,69.8437,58.5,11.2,69.86653605975266,170.0,68.7,496.27770295089994,10.2253,32.8,99.9,92.5,4.2,78.6,7.0,0.0,1.4,11.5,9599.363291294232,76.0,11.36
226,Germany,2010,42241.0,232.1,80.89,96.2,2525.404870812214,37.92212881691186,0.7193,30.1625,69.1182,59.4,7.0,66.47298800840647,169.0,82.0,607.3185807887254,11.004,32.8,102.8,100.0,3.7,79.7,7.0,-0.2,1.4,12.1,8290.740511806156,77.0,11.03
227,Germany,2015,41384.0,234.4,81.71,96.8,3315.787541304614,35.239187369966956,0.7257,30.4809,68.7934,60.3,4.6,61.27768938930364,158.0,84.4,619.8996450862808,11.0791,36.5,107.8,106.9,3.4,80.4,6.0,0.2,1.4,12.5,7022.73895484029,77.2,11.0
228,Ghana,2005,1057.0,94.7,21.54,99.9,-84.44753946146704,136.00445682451254,29.0837,33.2354,37.6809,71.6,4.7,7.613741875580316,12.0,1.8,40.250696378830085,5.3295,10.9,99.8,52.9,60.9,57.5,376.0,2.6,4.6,1.4,2796.8895078922933,47.3,1.03
229,Ghana,2010,1737.0,107.7,24.51,98.0,-115.21827825377396,148.34457364341083,28.8509,28.1705,42.9786,69.4,5.3,6.0383516931864545,11.0,7.8,28.80456956344349,6.1306,8.3,127.3,100.0,55.4,60.0,325.0,2.6,4.4,1.4,602.2439820481436,50.7,1.04
230,Ghana,2015,1783.0,121.2,27.58,99.0,-11.530094271211023,157.44434372733863,22.1348,34.6365,43.2287,67.4,2.2,13.488034807831763,12.0,31.4,33.03118201595359,6.0877,10.9,150.6,176.0,46.5,61.7,319.0,2.4,4.2,1.4,773.4227701232778,54.1,1.17
231,Greece,2005,21925.0,87.7,11.3,98.1,-3314.955752212389,57.54353982300884,4.7735,19.8378,75.3887,53.6,10.0,38.23008849557522,115.0,24.0,1190.5309734513273,8.9966,14.0,103.3,85.3,4.6,79.1,3.0,0.3,1.3,10.5,1261.6814159292035,74.5,10.73
232,Greece,2010,26154.0,88.8,11.45,97.2,-3394.4978165938865,56.1256768558952,3.2652,15.6555,81.0792,54.4,12.7,34.58515283842795,102.0,44.4,1210.3056768558952,9.56,17.3,98.4,100.0,3.5,80.0,3.0,0.3,1.5,11.5,5015.545851528384,76.3,9.0
233,Greece,2015,17525.0,87.0,11.22,97.0,-1691.1764705882351,57.376292335115856,4.2973,16.0579,79.6448,53.1,24.9,31.639928698752225,88.0,66.8,1538.3244206773618,8.1943,23.0,89.3,100.8,3.3,80.6,3.0,-0.4,1.3,11.1,3351.3368983957216,78.0,7.68
237,Grenada,2005,6755.0,302.8,0.1,98.8,-3060.0,144.26999999999998,3.3928,26.1494,70.4578,67.86339552697719,17.827990931107585,0.0,33.0,20.5,710.0,5.271,26.7,78.3,82.9,12.0,70.9,25.0,0.3,2.4,6.7,30.0,35.9,17.82
238,Grenada,2010,7366.0,307.9,0.1,99.8,-2810.0,136.63,5.1525,16.7934,78.0541,65.83709117081222,17.04666764198566,0.0,38.0,27.0,1120.0,6.0906,13.3,96.5,100.0,10.2,72.0,27.0,0.3,2.3,6.7,30.0,35.9,18.39
239,Grenada,2015,9333.0,314.2,0.11,100.6,-3081.818181818182,122.22727272727273,8.5861,14.2453,77.1686,65.270396572521,12.71543674871083,0.0,38.0,53.8,3836.3636363636365,4.8639,33.3,136.2,103.9,9.6,73.2,27.0,0.4,2.2,6.6,27.272727272727273,36.0,18.89
240,Guatemala,2005,2078.0,122.2,13.1,96.2,-390.76335877862596,179.03061068702291,13.0584,28.6073,58.3343,62.5,2.5,19.46564885496183,28.0,5.7,60.38167938931298,6.3367,8.2,99.8,74.6,37.3,68.9,120.0,2.3,4.3,0.4,30.076335877862597,46.9,1.71
241,Guatemala,2010,2825.0,136.5,14.63,96.5,-367.053998632946,181.37272727272727,11.4406,27.997,60.5624,61.5,3.7,19.070403280929597,27.0,10.5,94.19002050580997,6.0774,12.0,121.9,100.0,31.3,70.5,109.0,2.2,3.6,0.5,9.569377990430622,48.4,1.64
242,Guatemala,2015,3924.0,151.7,16.25,96.8,-428.3076923076923,146.57944615384616,10.7615,27.2207,62.0178,61.4,2.7,17.784615384615385,28.0,28.8,97.23076923076923,5.5159,13.3,158.4,121.8,26.9,72.4,88.0,2.1,3.2,0.5,16.923076923076923,50.0,1.71
243,Guinea,2005,420.0,39.4,9.68,99.9,-88.01652892561984,124.66353305785124,14.8522,34.8942,50.2536,65.2,4.6,11.260330578512397,15.0,0.5,1.4979338842975207,2.9495,19.3,100.5,42.2,95.2,51.3,831.0,1.9,5.9,2.4,10018.388429752067,32.3,1.27
244,Guinea,2010,635.0,43.9,10.79,100.1,6.1167747914735875,134.69462465245599,18.5633,34.3066,47.13,65.0,4.6,10.379981464318815,14.0,1.0,0.18535681186283598,3.0677,20.6,120.0,100.0,77.7,55.5,720.0,2.2,5.5,1.6,1389.6200185356813,33.7,1.41
245,Guinea,2015,727.0,49.2,12.09,100.5,-46.732837055417704,110.01232423490488,20.4291,28.3261,51.2449,64.8,4.5,9.594706368899917,13.0,8.2,2.2332506203473947,5.8271,21.9,132.7,185.6,65.7,57.9,679.0,2.3,5.1,1.0,744.1687344913151,35.1,1.43
246,Guinea-Bissau,2005,425.0,49.1,1.38,95.4,-63.76811594202899,182.9623188405797,45.3949,14.7146,39.8905,72.1,6.5,15.942028985507248,19.0,1.9,11.231884057971016,6.3873,14.0,100.2,84.2,101.0,52.7,714.0,2.1,5.6,1.5,5639.130434782609,38.2,1.04
247,Guinea-Bissau,2010,546.0,55.3,1.56,96.2,-49.35897435897436,178.77564102564102,46.1992,13.4656,40.3352,72.2,6.3,15.384615384615383,18.0,2.5,8.974358974358974,6.3485,10.0,128.1,100.0,91.1,54.2,570.0,2.4,5.2,1.4,5137.179487179487,40.1,1.18
248,Guinea-Bissau,2015,592.0,63.0,1.77,96.7,184.74576271186442,150.10677966101693,49.008,12.8354,38.1566,72.7,6.2,14.124293785310734,17.0,3.5,9.6045197740113,6.5198,13.7,140.1,108.4,80.4,56.0,549.0,2.6,4.9,1.3,4975.706214689266,42.1,1.17
249,Guyana,2005,1752.0,3.8,0.75,100.4,-318.6666666666667,155.67466666666667,25.7368,28.7066,45.5566,55.8,12.4,12.0,39.0,13.2,46.666666666666664,3.3695,30.8,94.1,73.6,36.5,65.3,232.0,-0.1,2.9,1.4,12.666666666666666,27.8,4.11
250,Guyana,2010,3026.0,3.8,0.75,100.1,-734.6666666666666,132.32133333333334,17.5951,34.4672,47.9377,56.1,10.9,10.666666666666666,43.0,29.9,106.66666666666667,4.6451,30.0,107.7,100.0,34.4,65.8,241.0,-0.1,2.7,1.8,9.333333333333334,26.6,4.79
251,Guyana,2015,4120.0,3.9,0.77,101.5,-1168.8311688311687,140.25779220779222,18.8612,33.2656,47.8732,57.1,11.8,9.09090909090909,45.0,34.0,84.41558441558442,4.4528,31.3,145.6,109.4,33.2,66.3,229.0,0.6,2.6,2.0,15.584415584415584,26.4,5.35
252,Haiti,2005,448.0,336.1,9.26,97.7,-105.72354211663067,247.98121260325533,18.9246,36.7421,44.3333,64.5,15.0,12.419006479481641,15.0,6.4,8.639308855291576,5.5094,3.6,101.4,66.8,56.0,58.3,459.0,1.6,4.0,0.3,0.755939524838013,42.6,0.81
253,Haiti,2010,671.0,362.8,10.0,97.8,-256.8,147.96421932506547,25.6902,27.4008,46.9091,65.6,16.0,13.1,16.0,8.4,38.3,8.1456,4.1,132.2,100.0,52.2,60.2,389.0,1.5,3.5,0.4,0.4,47.5,0.78
