,Country,Year,gdp,pop_density,pop,gender_ratio,exp_imp,edu_prim,gva_ag,gva_indst,gva_servc,labor_part,unemp,energy_prod,energy_supp,internet,tourism,health,parliam_women,food_prod,cpi,mort_child,life_exp,mort_mother,pop_gain,num_child,pop_migrants,pop_unhcr,urban,ghg_emissions
66,Bhutan,2005,1247.0,17.2,0.66,110.6,-195.45454545454544,150.6939393939394,23.1833,37.2892,39.5275,70.3,3.1,80.3030303030303,73.0,3.8,28.787878787878785,4.0196,9.3,105.6,74.8,51.9,62.9,308.0,2.7,3.1,6.1,12666.696817854405,31.0,1.55
67,Bhutan,2010,2179.0,19.1,0.73,112.7,-602.7397260273973,151.19041095890412,17.4965,44.5586,37.9449,69.8,3.3,100.0,78.0,13.6,87.67123287671232,3.4736,8.5,94.7,100.0,39.5,66.5,204.0,2.1,2.6,6.7,21006.57216685164,34.8,1.46
68,Bhutan,2015,2615.0,20.7,0.79,113.4,-648.1012658227847,125.68481012658226,17.5,43.2212,39.2788,66.6,2.5,97.46835443037975,81.0,39.8,151.89873417721518,3.6589,8.5,98.5,146.2,30.5,68.8,148.0,1.6,2.2,6.5,19.474609950601945,38.7,1.91
69,Bolivia,2005,1046.0,8.4,9.13,100.5,49.72617743702081,165.68192771084335,13.893,30.9479,55.1591,72.5,5.1,64.18400876232201,24.0,5.2,37.78751369112815,4.9628,19.2,99.8,73.0,61.2,62.1,305.0,1.8,3.8,1.2,59.145673603504925,64.2,3.78
70,Bolivia,2010,1981.0,9.2,9.92,100.5,137.19758064516128,144.0608870967742,12.3562,35.8488,51.795,72.0,2.5,66.73387096774194,27.0,22.4,34.17338709677419,5.097,22.3,120.2,100.0,51.0,64.9,253.0,1.7,3.4,1.2,74.49596774193549,66.4,4.38
71,Bolivia,2015,3077.0,9.9,10.72,100.3,-97.10820895522387,125.41735074626864,12.5764,30.9542,56.4693,67.0,3.1,89.4589552238806,33.0,35.6,75.55970149253731,6.4224,53.1,149.1,133.7,42.9,67.7,206.0,1.6,3.0,1.3,72.29477611940298,68.4,4.5
72,Bosnia and Herzegovina,2005,2968.0,74.1,3.78,96.6,-1234.126984126984,44.695767195767196,9.8347,25.305,64.8603,48.9,30.1,40.211640211640216,54.0,21.3,147.35449735449737,9.0522,16.7,97.8,84.9,9.9,74.8,14.0,0.1,1.3,1.3,52782.53968253968,44.0,6.0
73,Bosnia and Herzegovina,2010,4615.0,73.0,3.72,96.5,-1188.1720430107525,47.11586021505376,8.0189,26.4181,65.563,48.2,27.2,48.924731182795696,72.0,42.8,177.9569892473118,9.0189,19.0,107.5,100.0,9.0,75.5,13.0,-0.3,1.3,1.0,48107.25806451613,45.6,7.36
74,Bosnia and Herzegovina,2015,4584.0,69.3,3.54,96.4,-1100.2824858757062,45.94039548022599,7.3382,26.5116,66.1503,46.7,27.7,48.87005649717514,71.0,52.6,198.3050847457627,9.348,21.4,105.8,103.7,7.6,76.3,11.0,-1.0,1.3,1.1,40635.87570621469,47.2,7.89
75,Botswana,2005,5351.0,3.3,1.86,97.5,681.7204301075268,176.98440860215052,2.0323,47.634,50.3338,62.8,20.8,15.591397849462364,35.0,3.3,302.68817204301075,5.2628,11.1,101.4,64.3,65.4,49.2,276.0,1.4,3.2,4.8,2015.0537634408602,55.9,5.58
76,Botswana,2010,6346.0,3.6,2.01,97.8,-479.6019900497513,163.7766169154229,2.7843,35.6556,61.56,60.3,17.9,14.92537313432836,37.0,6.0,254.72636815920401,6.0187,7.9,124.7,100.0,46.5,56.5,169.0,1.6,2.9,6.0,1664.676616915423,62.4,9.32
77,Botswana,2015,6528.0,3.9,2.21,97.7,-591.4027149321267,148.9552036199095,2.4364,33.1908,64.3728,71.7,17.0,25.339366515837103,36.0,37.3,285.5203619909502,5.9651,9.5,116.0,132.9,35.2,62.9,129.0,1.8,2.9,7.3,1091.4027149321266,67.2,6.07
78,Brazil,2005,4770.0,22.4,186.92,97.4,240.35951209073403,99.83471538626151,5.4784,28.4719,66.0496,66.4,9.3,44.63941793280548,50.0,21.0,22.298309437192383,8.2511,8.6,99.4,79.5,28.2,71.1,67.0,1.3,2.1,0.3,41.44018831585706,82.8,4.43
79,Brazil,2010,11224.0,23.5,196.8,97.1,102.37296747967478,85.84090447154472,4.8423,27.3752,67.7826,64.8,7.3,51.0670731707317,55.0,40.7,28.058943089430894,9.7235,8.8,123.3,100.0,20.4,72.9,65.0,1.0,1.9,0.3,26.610772357723576,84.3,4.73
80,Brazil,2015,8750.0,24.6,205.96,96.8,95.55738978442416,79.13753155952611,5.023,22.5148,72.4622,64.1,8.4,57.49660128180229,61.0,58.3,30.36511944066809,11.4647,9.0,141.1,138.4,15.8,74.7,44.0,0.9,1.8,0.3,320.4602835502039,85.8,5.03
84,Brunei,2005,28923.0,69.3,0.37,104.3,12956.756756756757,124.35675675675677,0.8915,71.963,27.1455,67.1,5.9,2291.891891891892,210.0,36.5,516.2162162162163,2.2297,22.505622942450323,74.9,95.5,8.2,75.7,30.0,1.8,2.0,27.0,56102.7027027027,73.2,44.83
85,Brunei,2010,35267.0,73.7,0.39,106.7,16330.76923076923,113.37179487179488,0.7197,67.38,31.9002,66.4,6.2,1987.179487179487,349.0,53.0,433.3333333333333,2.2783,29.213618340255422,139.5,100.0,6.5,76.7,27.0,1.2,1.8,25.9,53825.64102564102,75.0,46.88
86,Brunei,2015,30968.0,79.2,0.42,106.3,7438.0952380952385,96.18333333333334,1.0827,60.2207,38.6966,65.8,6.8,1602.3809523809525,273.0,71.2,350.0,2.3871,22.696591300266306,170.2,100.0,6.5,76.7,23.0,1.4,1.9,24.6,48866.66666666667,76.7,46.84
87,Bulgaria,2005,3857.0,70.8,7.68,94.8,-836.328125,37.762630208333334,8.5707,28.4362,62.9931,50.4,10.1,57.8125,107.0,20.0,398.828125,6.9442,26.3,89.6,72.7,12.7,72.2,15.0,-0.8,1.2,0.8,679.4270833333334,70.6,8.03
88,Bulgaria,2010,6835.0,68.2,7.4,94.9,-642.1621621621621,35.181081081081075,4.7822,27.3789,67.8389,53.4,10.3,59.729729729729726,100.0,46.2,514.4594594594595,7.1058,20.8,107.1,100.0,9.5,73.1,11.0,-0.7,1.5,1.0,938.108108108108,72.3,8.0
89,Bulgaria,2015,6994.0,66.1,7.18,94.7,-485.51532033426184,36.46142061281337,4.7863,27.8707,67.343,54.2,9.1,70.33426183844011,108.0,56.7,499.025069637883,8.2031,20.4,113.4,106.6,8.3,74.3,11.0,-0.6,1.5,1.9,2639.6935933147633,74.0,7.55
90,Burkina Faso,2005,407.0,49.1,13.42,97.4,-61.69895678092399,94.69724292101341,38.4638,17.7185,43.8176,74.2,4.0,7.302533532041728,8.0,0.5,3.427719821162444,4.4426,11.7,103.8,86.9,90.0,51.6,468.0,2.9,6.4,4.4,97.0193740685544,21.5,1.42
91,Burkina Faso,2010,575.0,57.0,15.61,98.3,-48.68673926969891,131.1742472773863,35.2174,22.7447,42.038,70.4,4.7,7.559256886611147,9.0,2.4,6.726457399103139,5.893,15.3,125.7,100.0,77.6,55.3,417.0,3.0,6.1,4.3,68.80204996796925,24.6,1.38
92,Burkina Faso,2015,575.0,66.2,18.11,99.2,-44.28492545554942,149.46454997239096,33.1711,20.8157,46.0131,66.7,6.5,6.95748205411375,10.0,11.4,8.393152954168968,5.8253,13.3,122.5,108.0,64.8,58.7,371.0,3.0,5.6,3.9,1888.8459414688018,27.5,1.38
93,Burundi,2005,150.0,289.1,7.42,96.8,-19.40700808625337,139.73840970350403,43.0269,17.8362,39.1369,81.1,1.7,10.64690026954178,11.0,0.5,0.2695417789757412,8.4237,18.4,100.3,61.3,94.6,52.0,863.0,3.0,6.9,2.3,7219.541778975741,9.4,0.26
94,Burundi,2010,232.0,341.4,8.77,96.5,-32.611174458380844,210.93055872291907,40.7057,16.297,42.9973,79.3,1.6,9.806157354618016,10.0,1.0,0.22805017103762829,11.2764,31.4,113.9,100.0,86.2,53.7,808.0,3.3,6.5,2.7,22892.246294184723,10.6,0.29
95,Burundi,2015,276.0,397.2,10.2,96.7,-43.82352941176471,203.1772549019608,37.5182,16.4112,46.0707,78.5,1.6,5.490196078431373,6.0,4.9,0.19607843137254904,6.6093,30.5,111.5,154.0,77.9,56.1,712.0,3.0,6.0,2.8,13500.980392156864,12.1,0.32
96,Cape Verde,2005,2329.0,117.8,0.47,95.8,-742.5531914893618,176.56382978723406,11.7086,22.7671,65.5243,64.2,11.2,4.25531914893617,16.0,6.1,376.5957446808511,4.2736,11.1,99.4,82.6,25.0,71.3,54.0,1.7,3.4,2.7,2.127659574468085,57.7,1.1
97,Cape Verde,2010,3313.0,124.7,0.5,98.7,-1022.0,142.268,9.1521,20.7889,70.059,66.5,10.7,2.0,18.0,30.0,774.0,4.4756,18.1,105.6,100.0,23.5,71.8,51.0,1.1,2.9,2.9,116.0,61.8,1.43
98,Cape Verde,2015,2995.0,132.2,0.53,99.2,-737.7358490566037,123.73584905660377,9.9996,20.7392,69.2612,68.4,10.3,3.773584905660377,16.0,42.7,716.9811320754717,5.3404,20.8,95.4,108.6,22.5,72.2,42.0,1.2,2.5,2.8,216.9811320754717,64.3,1.15
99,Cambodia,2005,474.0,75.2,13.27,94.3,35.19216277317257,203.11770911831198,32.4017,26.3681,41.2302,81.5,2.0,7.912584777694047,11.0,0.3,70.00753579502637,6.8528,9.8,104.6,67.8,65.9,60.8,315.0,1.8,3.4,0.9,30.293896006028636,19.2,1.63
100,Cambodia,2010,786.0,81.1,14.31,95.0,48.07826694619147,158.80691823899372,36.0196,23.2519,40.7285,85.4,0.4,10.621942697414395,16.0,1.3,116.77148846960168,6.9117,21.1,147.6,100.0,45.0,65.1,202.0,1.5,3.1,0.6,12.578616352201257,20.3,1.83
101,Cambodia,2015,1163.0,87.9,15.52,95.2,-136.98453608247422,140.39407216494845,28.2491,29.4174,42.3335,81.0,0.2,11.855670103092784,19.0,22.3,220.2319587628866,6.1715,20.3,178.5,117.5,29.9,67.6,161.0,1.6,2.7,0.5,15.721649484536083,22.2,1.8
102,Cameroon,2005,1030.0,36.9,17.42,99.7,2.8128587830080365,170.94035591274394,15.1708,30.2614,54.5678,81.7,4.4,25.373134328358205,17.0,1.4,13.145809414466129,4.1421,8.9,102.2,85.7,88.5,51.5,729.0,2.6,5.5,1.5,3803.214695752009,48.5,4.77
103,Cameroon,2010,1309.0,42.2,19.97,100.0,-62.844266399599405,175.78347521281924,15.0655,29.1062,55.8283,75.9,4.1,17.57636454682023,15.0,4.3,8.5628442663996,4.5039,13.9,143.7,100.0,77.2,54.4,676.0,2.7,5.3,1.4,5344.216324486731,51.6,4.13
104,Cameroon,2015,1353.0,48.3,22.83,100.1,-86.90319754708717,191.41427945685504,16.0517,27.3625,56.5859,76.3,4.3,21.68199737187911,17.0,20.7,20.84975908891809,4.6995,31.1,169.9,112.9,67.5,56.4,596.0,2.7,5.0,2.2,17162.549277266757,54.6,3.85
105,Canada,2005,36218.0,3.6,32.29,98.3,1427.9343449984515,71.87172499225767,1.8406,32.3613,65.7981,66.7,6.8,513.9981418395788,349.0,71.7,492.009910188913,9.0644,21.1,101.9,91.9,5.3,79.7,9.0,1.0,1.5,18.8,5194.642304118923,80.1,21.94
106,Canada,2010,47221.0,3.8,34.17,98.5,-161.80860403863036,63.44811237928006,1.4233,28.551,70.0257,66.6,8.1,481.41644717588525,316.0,80.3,539.5961369622476,10.5558,22.1,103.3,100.0,5.1,80.8,8.0,1.1,1.6,19.8,6338.33772314896,80.9,20.47
107,Canada,2015,43186.0,4.0,35.95,98.4,-302.89290681502086,64.08801112656467,1.8348,25.9154,72.2498,65.5,6.9,538.1641168289291,322.0,88.5,535.6328233657857,10.3765,25.2,110.6,108.7,4.7,81.8,7.0,1.0,1.6,21.0,4334.881780250347,81.3,20.94
111,Central African Republic,2005,342.0,6.6,4.13,97.2,-18.159806295399516,99.8501210653753,44.9678,18.5622,36.47,72.5,6.2,4.600484261501211,5.0,0.3,1.6949152542372883,4.7629,9.6,101.4,80.9,113.4,43.7,1058.0,1.9,5.5,2.3,6948.18401937046,38.1,11.28
112,Central African Republic,2010,457.0,7.1,4.45,97.4,-26.96629213483146,143.11707865168538,41.1521,24.0243,34.8235,72.5,6.3,4.269662921348314,5.0,2.0,3.1460674157303368,3.742,9.6,114.1,100.0,105.9,46.0,909.0,1.5,5.3,2.1,48387.415730337074,38.9,10.78
113,Central African Republic,2015,359.0,7.3,4.55,97.3,-79.12087912087912,115.30241758241758,31.4165,25.9972,42.5863,72.4,6.4,4.175824175824176,5.0,3.8,2.307692307692308,6.309,9.6,118.3,186.9,93.5,49.4,882.0,0.4,5.1,1.8,113671.2087912088,40.3,10.94
114,Chad,2005,664.0,8.0,10.07,99.7,212.71102284011917,125.3617676266137,26.0152,35.1244,38.8603,71.8,5.7,42.99900695134061,7.0,0.4,9.826321439933945,4.8411,6.5,105.6,85.6,110.8,47.7,1168.0,3.8,7.2,3.5,27356.504468718966,21.8,2.87
